"Date and Time Run 1","Time (s) Run 1","Force, 964-462 (N) Run 1","Acceleration - x, 964-462 (m/s²) Run 1","Acceleration - y, 964-462 (m/s²) Run 1","Acceleration - z, 964-462 (m/s²) Run 1","Acceleration - resultant, 964-462 (m/s²) Run 1","Force, 946-449 (N) Run 1","Acceleration - x, 946-449 (m/s²) Run 1","Acceleration - y, 946-449 (m/s²) Run 1","Acceleration - z, 946-449 (m/s²) Run 1","Acceleration - resultant, 946-449 (m/s²) Run 1","Force, 969-321 (N) Run 1","Acceleration - x, 969-321 (m/s²) Run 1","Acceleration - y, 969-321 (m/s²) Run 1","Acceleration - z, 969-321 (m/s²) Run 1","Acceleration - resultant, 969-321 (m/s²) Run 1","Force, 966-489 (N) Run 1","Acceleration - x, 966-489 (m/s²) Run 1","Acceleration - y, 966-489 (m/s²) Run 1","Acceleration - z, 966-489 (m/s²) Run 1","Acceleration - resultant, 966-489 (m/s²) Run 1"
03/29/2026 03:49:00 pm,0.600,-0.24,0.0,0.0,9.8,9.8,-0.18,-0.3,-0.3,9.9,9.9,-0.24,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.610,-0.26,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.25,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.620,-0.24,0.0,-0.1,9.8,9.8,-0.17,-0.3,-0.3,9.9,9.9,-0.25,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.630,-0.25,0.0,-0.1,9.8,9.8,-0.18,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.640,-0.27,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.3,9.9,9.9,-0.24,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.650,-0.25,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.660,-0.25,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.670,-0.28,0.0,0.0,9.8,9.8,-0.18,-0.3,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.680,-0.28,0.0,0.0,9.8,9.8,-0.18,-0.3,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.690,-0.27,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
